,beta,HR (95% CI for HR),wald.test,p.value
JUB,0.3,1.3 (1.1-1.7),6.4,0.012
HNRNPUL2,-0.87,0.42 (0.21-0.82),6.4,0.012
GATM,0.35,1.4 (1.1-1.9),6.3,0.012
DBN1,-0.7,0.5 (0.29-0.86),6.3,0.012
CYB5R2,0.15,1.2 (1-1.3),6.3,0.012
CXCR2,0.26,1.3 (1.1-1.6),6.4,0.012
CKMT2,0.27,1.3 (1.1-1.6),6.3,0.012
CAP1,0.64,1.9 (1.1-3.1),6.3,0.012
C9orf110,0.22,1.3 (1.1-1.5),6.4,0.012
C1orf201,0.22,1.2 (1-1.5),6.3,0.012
ANKRD11,1.2,3.2 (1.3-8.1),6.3,0.012
ALS2CL,0.27,1.3 (1.1-1.6),6.4,0.012
AES,0.53,1.7 (1.1-2.6),6.3,0.012
USP11,-0.68,0.51 (0.3-0.87),6.2,0.013
UBE2L3,-1.1,0.32 (0.13-0.78),6.2,0.013
SPDYE8P,0.57,1.8 (1.1-2.8),6.1,0.013
SDCBP,0.88,2.4 (1.2-4.8),6.2,0.013
RALYL,-0.18,0.83 (0.72-0.96),6.2,0.013
PAQR6,-0.27,0.76 (0.61-0.94),6.1,0.013
PABPN1,-0.79,0.45 (0.24-0.85),6.1,0.013
NCRNA00095,0.3,1.4 (1.1-1.7),6.1,0.013
MTSS1,-0.38,0.68 (0.5-0.92),6.1,0.013
JAK3,0.19,1.2 (1-1.4),6.1,0.013
HNRNPA2B1,1,2.8 (1.2-6.3),6.2,0.013
GPT,-0.29,0.75 (0.6-0.94),6.2,0.013
GATC,0.47,1.6 (1.1-2.3),6.2,0.013
FOXS1,0.3,1.4 (1.1-1.7),6.2,0.013
FCGRT,0.44,1.6 (1.1-2.2),6.2,0.013
FBXO22OS,0.53,1.7 (1.1-2.6),6.1,0.013
FASN,-0.48,0.62 (0.42-0.9),6.2,0.013
ENPEP,0.2,1.2 (1-1.4),6.2,0.013
ELK4,0.52,1.7 (1.1-2.5),6.2,0.013
DDX1,-1.2,0.3 (0.12-0.78),6.2,0.013
COL15A1,0.19,1.2 (1-1.4),6.1,0.013
CASC1,0.22,1.2 (1-1.5),6.2,0.013
CAMSAP1L1,-0.62,0.54 (0.33-0.88),6.2,0.013
C1QC,0.25,1.3 (1.1-1.5),6.2,0.013
BMS1P5,-0.32,0.73 (0.57-0.93),6.2,0.013
AQP3,0.2,1.2 (1-1.4),6.2,0.013
ACAP3,-0.41,0.66 (0.48-0.92),6.1,0.013
TM4SF18,0.31,1.4 (1.1-1.8),6,0.014
TCP1,-0.79,0.45 (0.24-0.85),6,0.014
SURF4,0.95,2.6 (1.2-5.5),6,0.014
SLC39A4,0.28,1.3 (1.1-1.7),6,0.014
RAB17,0.3,1.4 (1.1-1.7),6,0.014
RAB11FIP1,0.35,1.4 (1.1-1.9),6.1,0.014
NUDT9P1,-0.44,0.64 (0.45-0.92),6,0.014
MMRN1,0.2,1.2 (1-1.4),6.1,0.014
MGC23284,-0.47,0.62 (0.43-0.91),6,0.014
HSPA5,0.57,1.8 (1.1-2.8),6,0.014
HMGCR,-0.42,0.65 (0.47-0.92),6,0.014
GNB3,-0.23,0.79 (0.66-0.96),6,0.014
GCHFR,0.35,1.4 (1.1-1.9),6.1,0.014
DAPP1,0.22,1.2 (1-1.5),6.1,0.014
CD68,0.27,1.3 (1.1-1.6),6,0.014
C9orf43,-0.43,0.65 (0.46-0.92),6,0.014
C9orf100,0.32,1.4 (1.1-1.8),6,0.014
C3orf45,-0.26,0.77 (0.62-0.95),6,0.014
ARPC5,0.62,1.9 (1.1-3.1),6,0.014
APBA2,-0.61,0.54 (0.33-0.88),6.1,0.014
ADIPOR2,-0.49,0.61 (0.41-0.9),6.1,0.014
ACVR1C,-0.18,0.83 (0.72-0.96),6,0.014
ACER2,0.42,1.5 (1.1-2.1),6.1,0.014
WDR16,0.16,1.2 (1-1.3),5.9,0.015
UBE2CBP,-0.53,0.59 (0.39-0.9),6,0.015
TKT,-0.75,0.47 (0.26-0.86),6,0.015
SPEF1,0.18,1.2 (1-1.4),6,0.015
SLC25A23,-0.58,0.56 (0.35-0.89),5.9,0.015
RPS10,-0.56,0.57 (0.37-0.9),6,0.015
RPL13A,-0.45,0.64 (0.44-0.92),5.9,0.015
RGPD5,0.28,1.3 (1.1-1.6),5.9,0.015
RAPGEF2,-0.6,0.55 (0.34-0.89),6,0.015
PYCARD,0.26,1.3 (1.1-1.6),5.9,0.015
PEX19,-1.3,0.27 (0.092-0.77),6,0.015
MAGED2,-1.2,0.29 (0.11-0.79),5.9,0.015
LOC348926,0.66,1.9 (1.1-3.3),5.9,0.015
ITPKB,0.37,1.5 (1.1-2),5.9,0.015
FLJ37201,-0.4,0.67 (0.49-0.93),5.9,0.015
ERAS,-0.39,0.68 (0.5-0.93),5.9,0.015
DNAH5,0.19,1.2 (1-1.4),5.9,0.015
CHRFAM7A,-0.32,0.73 (0.56-0.94),5.9,0.015
CDC37,0.95,2.6 (1.2-5.5),5.9,0.015
C9orf86,-0.98,0.38 (0.17-0.83),5.9,0.015
C12orf51,-0.52,0.6 (0.39-0.91),5.9,0.015
ZIC4,0.32,1.4 (1.1-1.8),5.8,0.016
YLPM1,-0.71,0.49 (0.28-0.88),5.8,0.016
XRCC6BP1,0.38,1.5 (1.1-2),5.8,0.016
XPO1,1,2.8 (1.2-6.5),5.8,0.016
VAT1,0.58,1.8 (1.1-2.9),5.8,0.016
UBE2Q2P1,-0.33,0.72 (0.55-0.94),5.8,0.016
SRP9,-0.84,0.43 (0.22-0.86),5.8,0.016
SAMD5,-0.23,0.79 (0.65-0.96),5.8,0.016
RPL5,-0.47,0.63 (0.43-0.92),5.8,0.016
RNF207,-0.23,0.8 (0.66-0.96),5.8,0.016
RHEBL1,0.23,1.3 (1-1.5),5.8,0.016
RBBP4,0.71,2 (1.1-3.7),5.8,0.016
PTHLH,0.21,1.2 (1-1.5),5.8,0.016
PHLDB3,0.47,1.6 (1.1-2.4),5.8,0.016
NUDT8,-0.45,0.64 (0.44-0.92),5.8,0.016
NUDT13,-0.38,0.69 (0.51-0.93),5.8,0.016
NASP,0.55,1.7 (1.1-2.7),5.8,0.016
MYLK3,-0.24,0.79 (0.65-0.96),5.8,0.016
LY6G5B,-0.32,0.72 (0.56-0.94),5.8,0.016
ID4,-0.25,0.78 (0.64-0.96),5.8,0.016
GPR126,0.23,1.3 (1-1.5),5.8,0.016
GPI,0.47,1.6 (1.1-2.3),5.8,0.016
GAB3,0.36,1.4 (1.1-1.9),5.8,0.016
FMNL2,-0.68,0.51 (0.29-0.88),5.8,0.016
FLJ26850,0.24,1.3 (1-1.5),5.8,0.016
FAM13AOS,-0.35,0.71 (0.53-0.94),5.8,0.016
EDNRB,-0.24,0.79 (0.65-0.96),5.8,0.016
CTCFL,0.6,1.8 (1.1-3),5.8,0.016
CCDC154,-0.23,0.79 (0.65-0.96),5.8,0.016
C1orf53,0.38,1.5 (1.1-2),5.8,0.016
BAT3,-1.1,0.32 (0.13-0.81),5.8,0.016
ARPP19,-0.93,0.39 (0.18-0.84),5.8,0.016
ARID3A,0.49,1.6 (1.1-2.4),5.8,0.016
ARHGEF9,-0.58,0.56 (0.35-0.9),5.8,0.016
TMEM59,0.76,2.1 (1.1-4),5.7,0.017
TERF2IP,-0.76,0.47 (0.25-0.87),5.7,0.017
RUSC2,-0.55,0.58 (0.37-0.91),5.7,0.017
RRN3P1,-0.34,0.71 (0.54-0.94),5.6,0.017
PMS2L5,0.56,1.8 (1.1-2.8),5.7,0.017
PIGL,0.48,1.6 (1.1-2.4),5.6,0.017
NISCH,-0.59,0.55 (0.34-0.9),5.7,0.017
NDRG4,-0.31,0.74 (0.57-0.95),5.7,0.017
MIB1,-0.6,0.55 (0.34-0.9),5.7,0.017
LMO1,0.21,1.2 (1-1.5),5.6,0.017
KBTBD11,-0.3,0.74 (0.58-0.95),5.6,0.017
HM13,0.55,1.7 (1.1-2.7),5.7,0.017
GPR183,0.2,1.2 (1-1.4),5.7,0.017
GLTSCR2,-0.43,0.65 (0.46-0.93),5.7,0.017
GBGT1,0.32,1.4 (1.1-1.8),5.7,0.017
FPR3,0.17,1.2 (1-1.4),5.7,0.017
FOXP3,0.37,1.4 (1.1-2),5.7,0.017
FOXO3,-0.68,0.51 (0.29-0.89),5.7,0.017
EIF3I,0.73,2.1 (1.1-3.8),5.6,0.017
C11orf45,0.32,1.4 (1.1-1.8),5.7,0.017
ARHGEF15,0.36,1.4 (1.1-1.9),5.7,0.017
STK25,-0.84,0.43 (0.22-0.87),5.6,0.018
SLC6A16,0.3,1.3 (1.1-1.7),5.6,0.018
PPM1J,0.22,1.2 (1-1.5),5.6,0.018
MORN1,0.37,1.4 (1.1-2),5.6,0.018
LPL,-0.17,0.84 (0.73-0.97),5.6,0.018
IGSF9,0.25,1.3 (1-1.6),5.6,0.018
HIC1,0.35,1.4 (1.1-1.9),5.6,0.018
FHL1,-0.59,0.55 (0.34-0.9),5.6,0.018
DND1,-0.69,0.5 (0.28-0.89),5.6,0.018
CN5H6.4,-0.41,0.67 (0.48-0.93),5.6,0.018
CCDC11,0.26,1.3 (1-1.6),5.6,0.018
C17orf57,0.31,1.4 (1.1-1.8),5.6,0.018
ATP2B3,-0.13,0.88 (0.79-0.98),5.6,0.018
ALX3,0.43,1.5 (1.1-2.2),5.6,0.018
AGBL3,0.4,1.5 (1.1-2.1),5.6,0.018
TNS3,-0.43,0.65 (0.46-0.93),5.5,0.019
SYT14,-0.2,0.82 (0.69-0.97),5.5,0.019
SLC16A13,0.53,1.7 (1.1-2.6),5.6,0.019
RPL38,-0.63,0.53 (0.32-0.9),5.5,0.019
NUCKS1,-0.91,0.4 (0.19-0.86),5.5,0.019
NANOS3,-0.4,0.67 (0.48-0.94),5.5,0.019
LRRC50,0.19,1.2 (1-1.4),5.5,0.019
KCNK6,0.34,1.4 (1.1-1.9),5.5,0.019
ITM2B,-0.65,0.52 (0.3-0.9),5.5,0.019
FLJ44606,0.21,1.2 (1-1.5),5.5,0.019
FAM184B,0.16,1.2 (1-1.3),5.5,0.019
FAM127A,-0.57,0.57 (0.35-0.91),5.5,0.019
ECHDC3,0.22,1.2 (1-1.5),5.5,0.019
CPSF7,-0.97,0.38 (0.17-0.85),5.5,0.019
C9orf163,0.34,1.4 (1.1-1.9),5.5,0.019
BAAT,-0.34,0.72 (0.54-0.95),5.5,0.019
ADRA2A,-0.2,0.82 (0.69-0.97),5.5,0.019
WBSCR27,0.23,1.3 (1-1.5),5.4,0.02
THBD,0.19,1.2 (1-1.4),5.4,0.02
SLPI,0.22,1.3 (1-1.5),5.4,0.02
RNLS,0.33,1.4 (1.1-1.8),5.4,0.02
PPP1R10,-0.85,0.43 (0.21-0.88),5.4,0.02
MRPL42P5,-0.33,0.72 (0.55-0.95),5.4,0.02
MCM3APAS,-0.32,0.73 (0.56-0.95),5.4,0.02
LIFR,-0.35,0.7 (0.52-0.95),5.4,0.02
KILLIN,-0.51,0.6 (0.39-0.92),5.4,0.02
IRAK1BP1,0.69,2 (1.1-3.5),5.4,0.02
IGSF6,0.24,1.3 (1-1.6),5.4,0.02
IARS,0.79,2.2 (1.1-4.3),5.4,0.02
HHIP,0.14,1.2 (1-1.3),5.4,0.02
HECTD1,-0.82,0.44 (0.22-0.88),5.4,0.02
DENND1C,0.27,1.3 (1-1.6),5.4,0.02
CENPW,0.27,1.3 (1-1.7),5.4,0.02
CD44,0.21,1.2 (1-1.5),5.4,0.02
CCDC141,-0.3,0.74 (0.57-0.95),5.4,0.02
C4A,0.2,1.2 (1-1.5),5.4,0.02
C16orf5,-0.62,0.54 (0.32-0.91),5.4,0.02
TMC4,0.32,1.4 (1-1.8),5.3,0.021
SUGT1L1,-0.38,0.68 (0.49-0.94),5.3,0.021
SOX4,-0.23,0.8 (0.66-0.97),5.3,0.021
RPL41,-0.65,0.52 (0.3-0.91),5.3,0.021
RHBDL2,0.18,1.2 (1-1.4),5.3,0.021
PRKAR1A,0.72,2 (1.1-3.8),5.4,0.021
PMS2L3,0.44,1.6 (1.1-2.3),5.4,0.021
PKP4,-0.47,0.63 (0.42-0.93),5.3,0.021
LRRC10B,-0.16,0.86 (0.75-0.98),5.3,0.021
LOC645431,0.4,1.5 (1.1-2.1),5.3,0.021
LOC134466,-0.14,0.87 (0.77-0.98),5.3,0.021
LLGL2,0.28,1.3 (1-1.7),5.3,0.021
GPBP1,-1.4,0.25 (0.079-0.81),5.3,0.021
GAP43,0.25,1.3 (1-1.6),5.3,0.021
DOCK10,-0.43,0.65 (0.45-0.94),5.3,0.021
CETN4P,-0.38,0.68 (0.49-0.94),5.3,0.021
ARSI,0.22,1.2 (1-1.5),5.3,0.021
ZNF207,1.5,4.4 (1.2-15),5.2,0.022
TRIM59,0.16,1.2 (1-1.4),5.2,0.022
PTPRA,-0.86,0.42 (0.2-0.88),5.3,0.022
LOC221442,-0.26,0.77 (0.62-0.96),5.3,0.022
IRF6,0.19,1.2 (1-1.4),5.3,0.022
IMPA2,0.35,1.4 (1.1-1.9),5.2,0.022
HMGN2,0.48,1.6 (1.1-2.4),5.3,0.022
DST,-0.49,0.62 (0.41-0.93),5.3,0.022
DDX3X,0.8,2.2 (1.1-4.4),5.3,0.022
CSRP1,0.22,1.3 (1-1.5),5.3,0.022
CREB3L1,0.13,1.1 (1-1.3),5.2,0.022
CPLX2,-0.11,0.89 (0.81-0.98),5.2,0.022
ZNF826,-0.19,0.83 (0.7-0.97),5.2,0.023
ZNF396,0.54,1.7 (1.1-2.7),5.2,0.023
WNT6,0.19,1.2 (1-1.4),5.2,0.023
SLC22A15,0.18,1.2 (1-1.4),5.1,0.023
SLC12A8,0.35,1.4 (1-1.9),5.2,0.023
RGNEF,0.17,1.2 (1-1.4),5.2,0.023
PRPF6,-0.75,0.47 (0.25-0.9),5.2,0.023
PIK3R6,0.22,1.2 (1-1.5),5.2,0.023
PEBP1,-0.46,0.63 (0.43-0.94),5.2,0.023
PCDHA2,-0.17,0.84 (0.73-0.98),5.2,0.023
ONECUT2,-0.23,0.8 (0.66-0.97),5.2,0.023
MACF1,0.62,1.9 (1.1-3.2),5.2,0.023
LUC7L3,-0.55,0.58 (0.36-0.93),5.2,0.023
ITGA2B,-0.22,0.8 (0.66-0.97),5.2,0.023
FAM124B,0.28,1.3 (1-1.7),5.2,0.023
DDX6,-0.86,0.43 (0.2-0.89),5.1,0.023
DAND5,-0.27,0.76 (0.61-0.96),5.1,0.023
CATSPERG,0.34,1.4 (1-1.9),5.1,0.023
ATF4,-0.76,0.47 (0.24-0.9),5.2,0.023
ZRANB3,0.59,1.8 (1.1-3),5.1,0.024
ZCWPW2,-0.52,0.6 (0.38-0.94),5.1,0.024
TUBB2A,0.42,1.5 (1.1-2.2),5.1,0.024
MPL,0.25,1.3 (1-1.6),5.1,0.024
ITGA10,0.26,1.3 (1-1.6),5.1,0.024
IL12RB1,0.23,1.3 (1-1.5),5.1,0.024
HYLS1,0.41,1.5 (1.1-2.1),5.1,0.024
HK3,0.19,1.2 (1-1.4),5.1,0.024
H1F0,-0.46,0.63 (0.43-0.94),5.1,0.024
GAB2,-0.56,0.57 (0.35-0.93),5.1,0.024
FAM26E,0.26,1.3 (1-1.6),5.1,0.024
FAM24B,-0.21,0.81 (0.68-0.97),5.1,0.024
FAM122C,0.51,1.7 (1.1-2.6),5.1,0.024
ENAH,-0.5,0.6 (0.39-0.94),5.1,0.024
EFEMP1,0.21,1.2 (1-1.5),5.1,0.024
DCAKD,-0.55,0.58 (0.36-0.93),5.1,0.024
ARF4,0.61,1.8 (1.1-3.1),5.1,0.024
AGAP8,-0.27,0.76 (0.6-0.96),5.1,0.024
ZC3H12D,0.28,1.3 (1-1.7),5,0.025
VGLL4,0.68,2 (1.1-3.6),5,0.025
UFSP1,0.38,1.5 (1-2),5,0.025
TLR6,0.22,1.2 (1-1.5),5,0.025
THY1,-0.28,0.76 (0.59-0.96),5,0.025
TARDBP,1.4,3.9 (1.2-13),5,0.025
SCP2,0.55,1.7 (1.1-2.8),5,0.025
RPL23A,-0.57,0.57 (0.34-0.93),5,0.025
RBPMS2,0.29,1.3 (1-1.7),5,0.025
PSAP,-0.64,0.53 (0.3-0.92),5,0.025
PRRG2,0.36,1.4 (1-2),5,0.025
OSR1,0.13,1.1 (1-1.3),5,0.025
NRL,-0.6,0.55 (0.33-0.93),5,0.025
LOC647979,-0.8,0.45 (0.22-0.9),5,0.025
LOC389705,-0.23,0.8 (0.65-0.97),5,0.025
LOC100133161,-0.29,0.75 (0.58-0.96),5,0.025
GABRB1,-0.17,0.85 (0.73-0.98),5,0.025
GABARAPL1,-0.43,0.65 (0.45-0.95),5,0.025
C7orf52,-0.19,0.83 (0.7-0.98),5,0.025
ZNF532,0.78,2.2 (1.1-4.3),4.9,0.026
ZFP36L1,0.33,1.4 (1-1.9),5,0.026
TMEM86B,0.36,1.4 (1-2),5,0.026
SRL,-0.27,0.76 (0.6-0.97),5,0.026
SETD5,-0.52,0.6 (0.38-0.94),5,0.026
PLAGL1,0.26,1.3 (1-1.6),4.9,0.026
MAPK3,-0.75,0.47 (0.24-0.92),4.9,0.026
FAM178B,0.17,1.2 (1-1.4),5,0.026
ELF3,0.25,1.3 (1-1.6),4.9,0.026
C10orf110,-0.3,0.74 (0.57-0.97),4.9,0.026
AMICA1,0.15,1.2 (1-1.3),4.9,0.026
ABHD2,0.33,1.4 (1-1.9),5,0.026
ZNF460,0.46,1.6 (1.1-2.4),4.9,0.027
WNT3,-0.34,0.71 (0.53-0.96),4.9,0.027
RPS10P7,0.46,1.6 (1.1-2.4),4.9,0.027
RPLP2,-0.44,0.64 (0.43-0.95),4.9,0.027
LOC282997,-0.35,0.71 (0.52-0.96),4.9,0.027
GNA14,0.27,1.3 (1-1.7),4.9,0.027
DLEC1,0.16,1.2 (1-1.3),4.9,0.027
CCDC96,0.31,1.4 (1-1.8),4.9,0.027
CCDC61,0.52,1.7 (1.1-2.7),4.9,0.027
BAT1,-0.87,0.42 (0.2-0.9),4.9,0.027
ATP6AP1,0.86,2.4 (1.1-5.1),4.9,0.027
ARL11,0.25,1.3 (1-1.6),4.9,0.027
YWHAQ,-1.1,0.34 (0.13-0.89),4.8,0.028
TMEM47,-0.25,0.78 (0.63-0.97),4.8,0.028
STXBP1,-0.28,0.76 (0.59-0.97),4.8,0.028
SNHG9,0.37,1.5 (1-2),4.8,0.028
PTAFR,0.19,1.2 (1-1.4),4.8,0.028
PLAC9,-0.21,0.81 (0.67-0.98),4.8,0.028
PDGFRA,-0.19,0.83 (0.69-0.98),4.8,0.028
NMNAT3,0.16,1.2 (1-1.4),4.8,0.028
KRT222,-0.28,0.75 (0.59-0.97),4.8,0.028
FGF1,0.24,1.3 (1-1.6),4.8,0.028
C13orf38,0.29,1.3 (1-1.7),4.8,0.028
ATXN7L3B,-0.68,0.51 (0.28-0.93),4.8,0.028
APLP2,0.61,1.8 (1.1-3.1),4.8,0.028
ANP32A,-0.83,0.43 (0.21-0.91),4.8,0.028
VEGFC,0.29,1.3 (1-1.7),4.8,0.029
VCAN,-0.26,0.77 (0.61-0.97),4.8,0.029
PTPRF,0.41,1.5 (1-2.2),4.8,0.029
PRDX5,-0.84,0.43 (0.2-0.92),4.8,0.029
PBXIP1,0.33,1.4 (1-1.9),4.8,0.029
KIF1B,-0.43,0.65 (0.44-0.96),4.8,0.029
CHPF,0.38,1.5 (1-2.1),4.8,0.029
C1QA,0.21,1.2 (1-1.5),4.8,0.029
ADNP,0.87,2.4 (1.1-5.2),4.8,0.029
ACOT11,0.2,1.2 (1-1.5),4.8,0.029
ZNF284,0.48,1.6 (1-2.5),4.7,0.03
WTIP,0.28,1.3 (1-1.7),4.7,0.03
PLEKHB2,-0.74,0.48 (0.24-0.93),4.7,0.03
PKP2,-0.18,0.83 (0.71-0.98),4.7,0.03
PBX4,0.3,1.3 (1-1.8),4.7,0.03
LOC606724,0.29,1.3 (1-1.7),4.7,0.03
GPR113,-0.36,0.7 (0.5-0.97),4.7,0.03
FNDC3A,0.54,1.7 (1.1-2.8),4.7,0.03
COX7C,-0.83,0.44 (0.21-0.92),4.7,0.03
BNIP3L,-0.95,0.39 (0.16-0.91),4.7,0.03
TTYH1,-0.28,0.75 (0.58-0.97),4.7,0.031
TMEM156,0.2,1.2 (1-1.5),4.7,0.031
TALDO1,-0.62,0.54 (0.31-0.95),4.6,0.031
SMAD5OS,0.49,1.6 (1-2.5),4.6,0.031
PA2G4,-0.87,0.42 (0.19-0.92),4.7,0.031
MLL,-0.49,0.61 (0.39-0.96),4.6,0.031
LOC653113,0.35,1.4 (1-1.9),4.7,0.031
LOC143188,-0.51,0.6 (0.38-0.95),4.7,0.031
FOXF1,0.23,1.3 (1-1.6),4.7,0.031
FAT2,-0.32,0.73 (0.55-0.97),4.7,0.031
CCDC50,-0.55,0.58 (0.35-0.95),4.7,0.031
C7orf58,0.23,1.3 (1-1.5),4.7,0.031
BATF3,0.22,1.3 (1-1.5),4.6,0.031
ATP5A1,-0.78,0.46 (0.23-0.93),4.6,0.031
UNC5C,0.17,1.2 (1-1.4),4.6,0.032
TTC32,-0.41,0.66 (0.45-0.97),4.6,0.032
SRRM5,0.44,1.6 (1-2.3),4.6,0.032
RPS15A,-0.42,0.66 (0.45-0.96),4.6,0.032
RHBDD2,0.49,1.6 (1-2.6),4.6,0.032
RBMX,-0.74,0.48 (0.24-0.94),4.6,0.032
RASSF2,-0.29,0.75 (0.57-0.98),4.6,0.032
QRICH2,0.31,1.4 (1-1.8),4.6,0.032
PSAT1,-0.37,0.69 (0.49-0.97),4.6,0.032
PRSS36,0.39,1.5 (1-2.1),4.6,0.032
NFIX,-0.52,0.59 (0.37-0.96),4.6,0.032
NCOR2,-0.51,0.6 (0.38-0.96),4.6,0.032
HNRNPL,1.1,3 (1.1-8.4),4.6,0.032
GRM6,0.33,1.4 (1-1.9),4.6,0.032
GIT1,-0.64,0.53 (0.29-0.95),4.6,0.032
DNAJC6,-0.28,0.76 (0.59-0.98),4.6,0.032
CTU1,0.4,1.5 (1-2.1),4.6,0.032
ANPEP,0.26,1.3 (1-1.6),4.6,0.032
ADRA1D,0.18,1.2 (1-1.4),4.6,0.032
X4.Sep,-0.23,0.79 (0.64-0.98),4.5,0.033
RUNX2,0.24,1.3 (1-1.6),4.5,0.033
PDAP1,0.76,2.1 (1.1-4.3),4.5,0.033
PCDHGC3,-0.42,0.66 (0.44-0.97),4.5,0.033
MICA,0.26,1.3 (1-1.6),4.5,0.033
FMO3,-0.26,0.77 (0.61-0.98),4.5,0.033
EGF,0.2,1.2 (1-1.5),4.5,0.033
CCDC62,-0.4,0.67 (0.46-0.97),4.6,0.033
ARL6IP1,0.82,2.3 (1.1-4.8),4.5,0.033
ALG1L,-0.19,0.83 (0.7-0.98),4.6,0.033
AGAP7,-0.25,0.78 (0.62-0.98),4.6,0.033
PSMF1,1.3,3.6 (1.1-12),4.5,0.034
PCDP1,0.19,1.2 (1-1.5),4.5,0.034
KCNJ12,-0.19,0.82 (0.69-0.99),4.5,0.034
FLT3LG,0.33,1.4 (1-1.9),4.5,0.034
DNAJC8,0.64,1.9 (1-3.4),4.5,0.034
APCDD1,-0.38,0.68 (0.48-0.97),4.5,0.034
ZNF597,0.56,1.8 (1-3),4.4,0.035
SYTL5,0.14,1.2 (1-1.3),4.4,0.035
PPP2CA,-1.2,0.3 (0.1-0.92),4.4,0.035
LILRB1,0.19,1.2 (1-1.4),4.4,0.035
KLHL6,0.23,1.3 (1-1.6),4.4,0.035
KCP,0.31,1.4 (1-1.8),4.4,0.035
HMGB1,-0.76,0.47 (0.23-0.95),4.5,0.035
EFNA4,0.25,1.3 (1-1.6),4.4,0.035
CCT2,0.46,1.6 (1-2.5),4.4,0.035
ATP6V1E1,-0.55,0.57 (0.34-0.96),4.5,0.035
TEKT3,0.22,1.2 (1-1.5),4.4,0.036
SLC17A9,0.23,1.3 (1-1.6),4.4,0.036
QKI,-0.54,0.58 (0.35-0.97),4.4,0.036
OLFM4,-0.15,0.86 (0.75-0.99),4.4,0.036
GLRX2,0.52,1.7 (1-2.7),4.4,0.036
EDA2R,0.12,1.1 (1-1.3),4.4,0.036
CST3,0.24,1.3 (1-1.6),4.4,0.036
C11orf58,-0.77,0.46 (0.23-0.95),4.4,0.036
ALDOA,-0.6,0.55 (0.31-0.96),4.4,0.036
ZNF366,0.28,1.3 (1-1.7),4.3,0.037
STAG3L1,0.25,1.3 (1-1.6),4.4,0.037
RPLP1,-0.43,0.65 (0.43-0.97),4.3,0.037
DUSP27,-0.19,0.83 (0.69-0.99),4.4,0.037
AZIN1,-0.78,0.46 (0.22-0.95),4.4,0.037
PTPRS,-0.53,0.59 (0.36-0.97),4.3,0.038
MTUS2,-0.15,0.86 (0.75-0.99),4.3,0.038
LSS,-0.53,0.59 (0.35-0.97),4.3,0.038
LOC284441,0.49,1.6 (1-2.6),4.3,0.038
LOC100130691,-0.57,0.57 (0.33-0.97),4.3,0.038
HSBP1L1,0.33,1.4 (1-1.9),4.3,0.038
CITED4,0.22,1.2 (1-1.5),4.3,0.038
BEAN,0.17,1.2 (1-1.4),4.3,0.038
ADORA2B,0.24,1.3 (1-1.6),4.3,0.038
A4GALT,0.28,1.3 (1-1.7),4.3,0.038
RTP4,0.28,1.3 (1-1.7),4.3,0.039
MGC23270,0.36,1.4 (1-2),4.3,0.039
METAP2,-0.82,0.44 (0.2-0.96),4.2,0.039
LOC100302401,0.41,1.5 (1-2.2),4.2,0.039
KLF13,-0.53,0.59 (0.36-0.97),4.3,0.039
HERC1,-0.45,0.64 (0.41-0.98),4.3,0.039
DSC2,0.23,1.3 (1-1.6),4.3,0.039
CNTN6,-0.14,0.87 (0.76-0.99),4.3,0.039
C20orf3,0.93,2.5 (1-6.2),4.2,0.039
ZNF677,0.45,1.6 (1-2.4),4.2,0.04
UCN,-0.27,0.76 (0.58-0.99),4.2,0.04
STMN3,-0.4,0.67 (0.46-0.98),4.2,0.04
SLC30A9,-0.91,0.4 (0.17-0.96),4.2,0.04
SERBP1,0.61,1.8 (1-3.3),4.2,0.04
PRKCSH,0.73,2.1 (1-4.2),4.2,0.04
PGD,0.56,1.8 (1-3),4.2,0.04
NPR1,0.19,1.2 (1-1.5),4.2,0.04
LRP1,0.49,1.6 (1-2.6),4.2,0.04
HLX,0.23,1.3 (1-1.6),4.2,0.04
CD300C,0.21,1.2 (1-1.5),4.2,0.04
C16orf59,0.3,1.4 (1-1.8),4.2,0.04
RPL12,-0.43,0.65 (0.43-0.98),4.2,0.041
RALGDS,-0.59,0.55 (0.31-0.98),4.2,0.041
RAB41,-0.39,0.68 (0.47-0.98),4.2,0.041
PTK2,-0.75,0.47 (0.23-0.97),4.2,0.041
PTGES3,-0.93,0.4 (0.16-0.96),4.2,0.041
PAQR5,0.37,1.4 (1-2),4.2,0.041
NPM1,-0.5,0.61 (0.37-0.98),4.2,0.041
MUC1,0.24,1.3 (1-1.6),4.2,0.041
LMO4,0.41,1.5 (1-2.2),4.2,0.041
KLF5,0.22,1.2 (1-1.5),4.2,0.041
KANK1,-0.36,0.7 (0.49-0.99),4.2,0.041
HRNBP3,-0.1,0.9 (0.82-1),4.2,0.041
GZMM,0.26,1.3 (1-1.7),4.2,0.041
GPR135,0.32,1.4 (1-1.9),4.2,0.041
EID1,-0.81,0.45 (0.21-0.97),4.2,0.041
C15orf42,0.25,1.3 (1-1.6),4.2,0.041
BGLAP,-0.52,0.6 (0.36-0.98),4.2,0.041
APBB2,-0.46,0.63 (0.41-0.98),4.2,0.041
AJAP1,-0.17,0.85 (0.72-0.99),4.2,0.041
ADRA2C,-0.23,0.8 (0.64-0.99),4.2,0.041
